Title,Alt Name,CODE,Season,Episode,Resolution,Rating,Watched,Creator,Producer,Year,Season,Genre,Subgenre,Source,link,Review,Clean,Unclean,Subbed,Left,Downloaded,Filtered
91 Days,,14,COM,,1080p,A,,Shuka,,2016,Summer,Action,Gangster,,,,COM,,FALSE,,,
A Certain Magical Index,,5,3,1,720p,,MULTIPLE,J.C. Staff,Funimation ,,,Action,Superpowers,Manga,https://myanimelist.net/anime/4654/Toaru_Majutsu_no_Index?q=a certa,,COM,,,,,
A Certain Scientific Railgun,,2,3,10,720p,B,MULTIPLE,J.C. Staff,Funimation ,,,Action,Superpowers,Manga,https://myanimelist.net/anime/6213/Toaru_Kagaku_no_Railgun?q=a certa,,COM,,,,,
A Place Further Than The Universe ,Sora yori mo Tooi Basho,1,COM,,1080p,A,2018,Madhouse,,2018,Winter,Drama,Moe,Original,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho/video,,,,,,,
ACCA - 13-ku Kansatsu-ka,,14,COM,,720p,B,2017,Madhouse,,2017,Winter,Drama,Chill,,,,COM,,FALSE,,,
Accell World,,14,COM,,,,,,,,,Adventure,Isekai,,,,COM,,TRUE,,,
Ace Atturny,,6,,,,,2016,A1-Pics,,2016,Spring,Adventure,,,,,,,,,,
Ace Of Diamond,,2,33,,1080p,,,,,,,Sports,Baseball,,,,,,,,,
Active Raid,,6,,,720p,C,2016,,,2016,Winter,Action,,,,,,,,,,
Afro Samurai,,1,COM,,1080p,,,,,,,Adventure,Samurai,,,,,,,,,
Akagami No Shirayukihime,,5,13,,1080p,,,,,,,,,,,,,,,,,
Akanesasu Shoujo ,,6,5,,720p,C,2018,,,,,,,,,,,,,,,
Akatsuki No Yona,,14,COM,,,,,,,,,Fantasy,War,,,,COM,,FALSE,,,
Alderamin on the Sky,,14,COM,,1080p,B,,Madhouse,,2016,Summer,Action,War,,,,COM,,FALSE,,,
Alice to Zouroku ,,14,COM,,720p,,2017,J.C. Staff,,2017,Spring,Light,Superpowers,,https://myanimelist.net/anime/34350/Alice_to_Zouroku,,COM,,FALSE,,,
Angel Beats,,11,COM,COM,1080p,,,,,,,Drama,,,,COM,COM,,TRUE,,COM,
Another,,14,COM,,,,,P.A. Works,,2012,Winter,Horror,,,https://myanimelist.net/anime/11111/Another,,COM,,FALSE,,,
Ao no Kanata no Four Rhythm,,1,COM,,720p,C+,2016,,,2016,Winter,Sports,,,,,,,,,,
Aoharu X Kikanjuu,,14,COM,,1080p,B-,2015,,,2015,Summer,,,,,,COM,,FALSE,,,
Attack On Titan,,2,3,1,1080p,,MULTIPLE,Studio Wit,,2013,MULTIPLE,Action,Posr Apocalptic,,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,,S3,,TRUE,,COM,COM
Baby Steps,,14,COM,,1080p,A,2016,Studio Pierrot ,,2014,MULTIPLE,Sports,Tennis,,https://myanimelist.net/anime/21185/Baby_Steps?q=baby,,COM,,FALSE,,,
Bakuman,,12,COM,COM,,,,,,,,,,,,COM,,,,,,
Bakuon,,6,,,,,2016,A1-Pics,,2016,Spring,,,,,,,,,,,
Ballroom e Youkoso,,1,COM,,1080p,B+,2017,Production I.G ,,2016,MULTIPLE,Sports,Dance,,https://myanimelist.net/anime/34636/Ballroom_e_Youkoso,,,,,,,
Battery,,6,,,1080p,,,Zero-G,,2016,Summer,Sports,Baseball,,,,,,,,,
Berserk,,14,COM,,Depends,,,,,,,Fantasy,,,,,COM,OP1,TRUE,ED1,,
Berserk 2016,,2,,,1080p,,,Millepensee / GEMBRA,,2016,Summer,Fantasy,,,,,,,,,,
Big Order,,5,,,1080p,B-,2016,Asread,,2016,Spring,,,,,,,,,,,
Black Bullet,,1,COM,,,,,,,,,,,,,,,,,,,
